repo,pr_id,title,date_created,url,author,ci_status,draft_status
insights-ccx-messaging,668,chore(deps): update pre-commit hook astral-sh/ruff-pre-commit to v0.15.8,2026-03-27T01:29:07Z,https://github.com/RedHatInsights/insights-ccx-messaging/pull/668,app/red-hat-konflux,failed,ready
insights-results-aggregator,2397,chore(deps): update go dependencies,2026-03-26T21:49:24Z,https://github.com/RedHatInsights/insights-results-aggregator/pull/2397,app/red-hat-konflux,failed,ready
insights-content-template-renderer,259,Bump requests from 2.32.5 to 2.33.0,2026-03-26T16:19:04Z,https://github.com/RedHatInsights/insights-content-template-renderer/pull/259,app/dependabot,failed,ready
insights-results-smart-proxy,1689,pre-commit config and text based fixes,2026-03-26T16:04:01Z,https://github.com/RedHatInsights/insights-results-smart-proxy/pull/1689,joselsegura,ok,ready
obsint-mocks,164,Add CODEOWNERS file,2026-03-26T15:14:11Z,https://github.com/RedHatInsights/obsint-mocks/pull/164,joselsegura,ok,ready
insights-results-smart-proxy,1688,Add CODEOWNERS file,2026-03-26T15:14:08Z,https://github.com/RedHatInsights/insights-results-smart-proxy/pull/1688,joselsegura,ok,ready
insights-results-aggregator-exporter,530,Add CODEOWNERS file,2026-03-26T15:14:02Z,https://github.com/RedHatInsights/insights-results-aggregator-exporter/pull/530,joselsegura,ok,ready
insights-operator-gathering-conditions-service,596,Add CODEOWNERS file,2026-03-26T15:13:41Z,https://github.com/RedHatInsights/insights-operator-gathering-conditions-service/pull/596,joselsegura,ok,ready
insights-content-template-renderer,258,Add CODEOWNERS file,2026-03-26T15:13:36Z,https://github.com/RedHatInsights/insights-content-template-renderer/pull/258,joselsegura,failed,ready
insights-behavioral-spec,748,Add CODEOWNERS file,2026-03-26T15:06:59Z,https://github.com/RedHatInsights/insights-behavioral-spec/pull/748,joselsegura,ok,ready
insights-results-aggregator-cleaner,636,chore(deps): update go dependencies,2026-03-26T14:06:53Z,https://github.com/RedHatInsights/insights-results-aggregator-cleaner/pull/636,app/red-hat-konflux,ok,ready
insights-ccx-messaging,667,chore(deps): update python dependencies,2026-03-26T13:59:57Z,https://github.com/RedHatInsights/insights-ccx-messaging/pull/667,app/red-hat-konflux,failed,ready
insights-content-template-renderer,256,Bump fastapi from 0.132.0 to 0.135.2,2026-03-23T23:13:37Z,https://github.com/RedHatInsights/insights-content-template-renderer/pull/256,app/dependabot,failed,ready
ccx-notification-service,1077,chore(deps): update pre-commit hook golangci/golangci-lint to v2.11.4,2026-03-22T21:31:25Z,https://github.com/RedHatInsights/ccx-notification-service/pull/1077,app/red-hat-konflux,failed,ready
ccx-notification-writer,775,chore(deps): update pre-commit hook golangci/golangci-lint to v2.11.4,2026-03-22T21:31:09Z,https://github.com/RedHatInsights/ccx-notification-writer/pull/775,app/red-hat-konflux,failed,ready
ccx-notification-writer,774,Bump github.com/lib/pq from 1.11.2 to 1.12.0,2026-03-19T14:04:22Z,https://github.com/RedHatInsights/ccx-notification-writer/pull/774,app/dependabot,failed,ready
insights-results-smart-proxy,1685,Linters reusable workflow,2026-03-19T11:51:34Z,https://github.com/RedHatInsights/insights-results-smart-proxy/pull/1685,joselsegura,failed,ready
ccx-notification-service,1076,Bump github.com/lib/pq from 1.11.2 to 1.12.0,2026-03-19T07:12:40Z,https://github.com/RedHatInsights/ccx-notification-service/pull/1076,app/dependabot,failed,ready
ccx-notification-writer,773,fix(deps): update module github.com/lib/pq to v1.12.0,2026-03-18T17:25:14Z,https://github.com/RedHatInsights/ccx-notification-writer/pull/773,app/red-hat-konflux,failed,ready
insights-content-template-renderer,255,Linters reusable workflow,2026-03-18T12:16:54Z,https://github.com/RedHatInsights/insights-content-template-renderer/pull/255,joselsegura,failed,ready
ccx-notification-writer,772,chore(deps): update pre-commit hook astral-sh/ruff-pre-commit to v0.15.8,2026-03-17T13:53:41Z,https://github.com/RedHatInsights/ccx-notification-writer/pull/772,app/red-hat-konflux,failed,ready
ccx-notification-service,1071,Bump github.com/openshift-online/ocm-sdk-go from 0.1.497 to 0.1.498,2026-03-12T07:12:45Z,https://github.com/RedHatInsights/ccx-notification-service/pull/1071,app/dependabot,failed,ready
ccx-notification-writer,769,chore(deps): update all dependencies,2026-03-11T19:58:24Z,https://github.com/RedHatInsights/ccx-notification-writer/pull/769,app/red-hat-konflux,failed,ready
insights-content-template-renderer,251,Bump fastapi from 0.132.0 to 0.135.1,2026-03-03T00:27:00Z,https://github.com/RedHatInsights/insights-content-template-renderer/pull/251,app/dependabot,failed,ready
insights-operator-gathering-conditions-service,371,Drop legacy building,2025-03-28T12:35:04Z,https://github.com/RedHatInsights/insights-operator-gathering-conditions-service/pull/371,ikerreyes,failed,draft
